username,follower_num,following_num,is_private,is_verified,has_clips,highlight_reel_count,is_business_account,edge_felix_video_timeline,edge_owner_to_timeline_media,username_len,fullname_len,bio_len,Digits_in_username,Number_of_nonalphabetic_in_fullname,Number_of_HashtagsMentions,Has_external_url,Has_business_category_name,Has_category_enum,Has_category_name
federica_dinuzzo,2601,1170,True,False,False,0,False,0,464,16,17,88,0,0,1,False,False,False,False
chiara.mammano,1253,978,False,False,True,6,False,0,4,14,7,42,0,0,1,False,False,False,False
erikabettio,353,835,True,False,False,0,False,0,9,11,6,0,0,0,0,False,False,False,False
vale_sbiii,356,3178,True,False,False,0,False,0,202,10,12,38,0,0,0,False,False,False,False
sofiacossi,2237,589,True,False,False,0,False,0,4,10,16,3,0,0,0,False,False,False,False
gretatilli,421,1702,True,False,False,0,False,0,144,10,5,0,0,0,0,False,False,False,False
novantatree,1059,828,False,False,True,2,False,0,113,11,10,76,0,0,0,False,False,False,False
pata_96,670,790,True,False,False,0,False,0,62,7,14,31,2,0,0,False,False,False,False
robertotivoli,869,1755,False,False,False,0,False,0,167,13,7,0,0,0,0,True,False,False,False
vivipaluccio,952,699,False,False,True,2,True,0,110,12,17,15,0,0,0,False,False,False,False
fleovd,806,1150,True,False,False,0,False,0,19,6,13,44,0,0,0,False,False,False,False
i20667,39,66,True,False,False,0,False,0,69,6,6,33,5,0,0,False,False,False,False
_.l3ys._,2474,578,True,False,False,0,False,0,1,8,6,45,1,0,0,False,False,False,False
_.crazy__lady,16,79,True,False,False,0,False,0,213,13,7,0,0,0,0,False,False,False,False
idkkjustasia,58,51,False,False,False,0,False,0,0,12,11,0,0,0,0,False,False,False,False
nuvolari.weare,18950,521,False,False,True,5,True,12,2707,14,17,37,0,0,0,True,False,False,False
ffederica.buono,2021,1195,True,False,False,0,False,0,6,15,0,0,0,0,0,False,False,False,False
mercante_roma,420,1075,True,False,True,0,False,1,116,13,0,68,0,0,0,False,False,False,False
_aury_lav_06,971,2263,True,False,False,0,False,0,34,12,6,53,2,0,0,False,False,False,False
woscar.fit,657,792,False,False,True,9,False,0,110,10,31,76,0,0,0,False,False,False,False
ciccio.franzo,1665,676,False,False,True,6,False,0,5,13,16,35,0,0,1,True,False,False,False
francescaacriti,516,754,True,False,False,0,False,0,656,15,20,27,0,0,0,False,False,False,False
pepe_catering,10381,4592,False,False,True,14,True,7,323,13,28,149,0,0,2,True,True,True,True
matteostella503,865,1899,True,False,True,0,False,1,78,15,13,0,3,0,0,False,False,False,False
giorgioingravalle,930,842,False,False,True,11,True,0,28,17,18,58,0,0,1,False,True,True,True
gino_1950,4140,620,False,False,True,6,True,2,460,9,9,94,4,0,0,True,True,True,True
ricci.1991,214,352,True,False,False,0,False,0,76,10,1,0,4,0,0,False,False,False,False
ko.awere,663,1326,True,False,False,0,False,0,6,8,4,124,0,0,2,False,False,False,False
sofiac.___,1546,1709,True,False,False,0,False,0,0,10,5,53,0,0,1,False,False,False,False
dropsofjupiter9,10933,980,False,False,True,120,False,2,2115,15,25,148,1,0,1,False,False,False,False
mariavoiasciuc,146,283,True,False,True,0,False,1,20,14,15,0,0,0,0,False,False,False,False
pat.dario13,526,1215,True,False,False,0,False,0,83,11,15,16,2,0,0,False,False,False,False
lacritica__,7,6,False,False,True,1,False,0,3,11,11,146,0,0,2,False,False,False,False
