username,follower_num,following_num,is_private,is_verified,has_clips,highlight_reel_count,is_business_account,edge_felix_video_timeline,edge_owner_to_timeline_media,username_len,fullname_len,bio_len,Digits_in_username,Number_of_nonalphabetic_in_fullname,Number_of_HashtagsMentions,Has_external_url,Has_business_category_name,Has_category_enum,Has_category_name,label
earthleagueint,64000,170,False,False,False,4,True,5,412,14,26,148,0,2,2,True,True,True,True,1
vaquitacpr,4588,222,False,False,False,0,True,3,94,10,11,32,0,1,0,True,True,True,True,1
iucn_congress,9441,426,False,False,True,9,True,3,203,13,27,81,0,2,0,True,True,True,True,1
goldmanprize,5172,719,False,True,False,11,True,13,506,12,27,121,0,2,1,True,True,True,False,1
allontheline,94299,60,False,True,False,0,True,8,209,12,15,137,0,3,0,True,True,True,False,1
stopbigmoney,1278,55,False,False,False,0,True,0,6,12,19,113,0,2,2,True,True,False,True,1
demredistrict,4069,41,False,True,False,5,True,4,191,13,4,144,0,0,1,True,True,True,False,1
stand.earth,12644,229,False,False,True,11,True,13,447,11,11,59,0,1,1,True,True,True,False,1
wild.ark,112294,869,False,True,False,12,True,33,2087,8,7,55,0,0,0,True,True,True,True,1
paulainthefield,2261,82,False,False,False,1,False,0,50,15,16,100,0,3,4,True,False,False,False,1
natgeopristineseas,142231,216,False,False,False,2,True,13,515,18,13,107,0,1,0,True,True,True,True,1
sealegacy,2352365,300,False,True,True,17,True,30,2495,9,9,150,0,0,4,True,True,True,False,1
parquegalapagos,22781,74,False,False,False,0,True,3,1139,15,25,33,0,2,0,True,True,True,False,1
islandconservation,4847,252,False,False,False,2,True,1,202,18,19,49,0,1,1,True,True,True,True,1
osagenews,7809,27,False,False,False,0,True,0,4388,9,10,135,0,1,0,True,False,False,False,1
faunafloraint,26274,525,False,False,False,6,True,3,876,13,27,109,0,4,1,True,True,True,False,1
ndncollective,119102,1261,False,False,True,10,True,39,605,13,14,107,0,1,0,True,True,True,True,1
wildfoundation,6102,175,False,False,False,1,True,13,469,14,15,0,0,1,0,True,True,True,False,1
matiasrebak,4692,674,False,False,False,1,False,6,664,11,12,141,0,1,1,False,False,False,True,1
usinterior,2236652,6552,False,True,True,4,True,2,5444,10,26,109,0,3,0,True,True,True,False,1
secdebhaaland,42062,13,False,True,True,0,True,5,45,13,21,140,0,2,1,True,True,False,True,1
luksth,30704,394,False,False,False,6,False,14,653,6,16,142,0,1,2,True,False,False,True,1
cop26uk,24840,205,False,True,False,6,True,4,171,7,5,111,2,2,1,True,True,True,True,1
alex_mace1,1615,130,False,False,False,5,False,0,4,10,9,64,1,1,0,False,False,False,False,1
potus,18053601,5,False,True,True,5,True,74,517,5,19,115,0,2,1,True,True,True,True,1
vp,17818817,4,False,True,True,0,True,15,269,2,28,113,0,3,1,True,True,False,True,1
parquesnacionalesar,275773,85,False,True,True,13,True,10,2973,19,18,36,0,1,0,True,True,True,False,1
gobiernocorrientes,90121,43,False,True,True,12,False,13,1459,18,22,57,0,2,0,True,False,False,False,1
