username,follower_num,following_num,is_private,is_verified,has_clips,highlight_reel_count,is_business_account,edge_felix_video_timeline,edge_owner_to_timeline_media,username_len,fullname_len,bio_len,Digits_in_username,Number_of_nonalphabetic_in_fullname,Number_of_HashtagsMentions,Has_external_url,Has_business_category_name,Has_category_enum,Has_category_name
isyantirahamaya,2234,1309,False,False,True,33,False,2,249,15,22,37,0,0,0,False,False,False,False
rabaman72,2241,6267,False,False,True,1,False,0,757,9,16,149,2,0,1,True,False,False,False
scalo21,615,1201,True,False,False,0,False,0,33,7,0,0,2,0,0,False,False,False,False
caravaletiscrivo,166,208,True,False,False,0,False,0,6,16,7,0,0,0,0,False,False,False,False
insta_sukhraj,416,2668,False,False,False,0,False,0,48,13,13,51,0,0,0,False,False,False,False
jungle_jungle_,6599,1172,False,False,True,1,False,1,1312,14,6,53,0,0,2,False,False,False,False
danilo_halle,621,514,False,False,True,0,False,3,176,12,12,29,0,0,0,True,False,False,False
menag71,1290,4160,False,False,True,57,False,9,18228,7,11,50,2,0,2,False,False,False,False
chairmannnnnnn,348,2237,True,False,False,0,False,0,15,14,9,109,0,0,3,False,False,False,False
filippocarpenter,863,1318,True,False,False,0,False,0,125,16,17,0,0,0,0,False,False,False,False
iskra_silvia_11,630,3636,False,False,True,7,False,0,34,15,0,27,2,0,0,False,False,False,False
tommaso_jena,1168,4045,False,False,True,5,False,0,429,12,21,0,0,0,0,False,False,False,False
scarfacewproszku,47,132,False,False,True,2,False,0,0,16,6,0,0,0,0,False,False,False,False
buoninverno1982,3157,5710,False,False,False,0,False,0,318,15,27,149,4,0,3,True,False,False,False
sophiacacciari,1516,304,False,False,False,0,False,0,61,14,6,24,0,0,1,False,False,False,False
prabhusilvam,227,2023,True,False,False,0,False,0,135,12,13,0,0,0,0,False,False,False,False
beans_by_dre,347,1540,True,False,False,0,False,0,62,12,0,7,0,0,0,False,False,False,False
gledissss_vinylcollector,667,950,False,False,True,4,False,0,55,24,17,135,0,0,1,False,False,False,False
_tokkye,214,1261,True,False,False,0,False,0,170,7,9,117,0,0,1,False,False,False,False
sgambellissima,328,1543,True,False,False,0,False,0,360,14,19,103,0,0,0,False,False,False,False
discomediterranea,1480,1866,False,False,True,6,False,2,40,17,17,36,0,0,0,False,False,False,False
r.mtl.7,706,1867,True,False,False,0,False,0,76,7,7,29,1,0,0,False,False,False,False
_cirene_,74,198,False,False,True,0,False,2,19,8,6,35,0,0,0,True,False,False,False
pasquale16116,1829,1364,False,False,True,5,True,2,298,13,24,0,5,0,0,True,True,True,True
thetropiki,1688,1729,False,False,True,2,True,12,298,10,7,75,0,0,1,True,True,True,True
mattia_nobu,744,403,False,False,True,2,False,0,100,11,11,17,0,0,0,False,False,False,False
arteagaphoto,768,833,False,False,True,0,False,3,186,12,12,44,0,0,1,False,False,False,False
simonebaronedj,755,820,False,False,True,22,False,0,426,14,13,29,0,0,0,False,False,False,False
mariocristofalo,236,1506,False,False,False,0,True,0,82,15,16,80,0,0,1,False,True,True,True
checca_malloz,1015,1116,False,False,True,6,False,0,590,13,13,0,0,0,0,False,False,False,False
sabrina.demitri,1084,907,False,False,True,17,True,10,184,15,16,112,0,0,0,True,True,True,True
deejayalexpaz,2829,1279,False,False,True,1,False,6,146,13,11,100,0,0,3,False,False,False,False
maria.alibaba,1326,991,True,False,True,0,False,1,105,13,4,1,0,0,0,False,False,False,False
ilchiano_,1043,442,False,False,True,0,False,2,341,9,9,100,0,0,1,False,False,False,False
nu_genea,107727,721,False,True,True,2,False,2,204,8,8,92,0,0,1,True,False,False,False
ilovegattacicova,5988,1757,False,False,True,1,False,0,34,16,37,28,0,0,0,True,False,False,False
nikcecca,548,2379,False,False,True,1,False,0,36,8,12,0,0,0,0,False,False,False,False
matteospedicati,5494,1573,False,False,True,10,False,1,620,15,16,0,0,0,0,True,False,False,False
stefanowobbly,317,883,True,False,True,0,False,6,211,13,21,0,0,0,0,False,False,False,False
dar_tr86,551,927,False,False,True,3,False,0,37,8,12,0,2,0,0,False,False,False,False
wrgzm,298,36,False,False,False,0,False,0,69,5,8,0,0,0,0,True,False,False,False
anthomyke,899,986,False,False,True,2,False,0,5,9,17,21,0,0,0,True,False,False,False
kauri_del_desierto,1957,2775,True,False,False,0,False,0,681,18,23,52,0,0,1,False,False,False,False
christian_brondoloni13,931,3295,False,False,True,1,False,5,262,22,35,139,2,0,3,True,False,False,False
dariapacelli,1131,1679,True,False,False,0,False,0,442,12,13,122,0,0,2,True,False,False,False
silviavalesani,3485,2701,False,False,True,29,False,0,1461,14,15,72,0,0,1,False,False,False,False
yassine__hammar,1393,2479,False,False,True,0,False,2,98,15,15,150,0,0,6,True,False,False,False
mic_penna,558,932,False,False,False,0,False,0,26,9,13,18,0,0,0,False,False,False,False
